"Round","Date","Time","HomeTeam","HowegoalsFT","AwaygoalsFT","HomegoalsHT","AwaygoalsHT","AwayTeam","Month","Day","Year"
"1",2020-08-08,"16.30","Club Brugge","0","1","0","0","Sporting Charleroi","Aug","8",2020
"1",2020-08-08,"19.00","Royal Antwerp FC","1","1","0","0","Royal Excel Mouscron","Aug","8",2020
"1",2020-08-08,"19.00","Standard Liège","1","0","0","0","Cercle Brugge","Aug","8",2020
"1",2020-08-09,"13.30","Sint-Truidense VV","2","1","1","1","KAA Gent","Aug","9",2020
"1",2020-08-09,"16.00","SV Zulte Waregem","1","2","1","0","KRC Genk","Aug","9",2020
"1",2020-08-09,"18.15","KV Mechelen","2","2","0","0","RSC Anderlecht","Aug","9",2020
"1",2020-08-09,"20.45","KV Kortrijk","1","3","0","1","Waasland-Beveren","Aug","9",2020
"1",2020-08-10,"19.00","KV Oostende","1","2","0","1","Beerschot VA","Aug","10",2020
"1",2020-08-10,"19.00","Oud-Heverlee Leuven","1","1","0","0","KAS Eupen","Aug","10",2020
"2",2020-08-14,"19.00","Royal Excel Mouscron","0","1","0","1","KV Mechelen","Aug","14",2020
"2",2020-08-15,"16.30","KRC Genk","1","1","0","0","Oud-Heverlee Leuven","Aug","15",2020
"2",2020-08-15,"19.00","Sporting Charleroi","1","0","0","0","KV Oostende","Aug","15",2020
"2",2020-08-15,"19.00","KAA Gent","1","2","0","1","KV Kortrijk","Aug","15",2020
"2",2020-08-16,"13.30","Cercle Brugge","2","1","0","1","Royal Antwerp FC","Aug","16",2020
"2",2020-08-16,"16.00","Beerschot VA","3","1","1","0","SV Zulte Waregem","Aug","16",2020
"2",2020-08-16,"16.00","KAS Eupen","0","4","0","1","Club Brugge","Aug","16",2020
"2",2020-08-16,"18.15","RSC Anderlecht","3","1","1","0","Sint-Truidense VV","Aug","16",2020
"2",2020-08-17,"19.00","Waasland-Beveren","1","2","0","0","Standard Liège","Aug","17",2020
"3",2020-08-21,"19.00","KV Kortrijk","0","0",NA,NA,"KAS Eupen","Aug","21",2020
"3",2020-08-22,"18.30","KV Mechelen","2","3","1","0","Cercle Brugge","Aug","22",2020
"3",2020-08-22,"16.15","SV Zulte Waregem","4","1","1","0","Waasland-Beveren","Aug","22",2020
"3",2020-08-22,"20.45","Royal Antwerp FC","1","0","1","0","KAA Gent","Aug","22",2020
"3",2020-08-22,"18.30","Oud-Heverlee Leuven","1","3","1","1","Sporting Charleroi","Aug","22",2020
"3",2020-08-23,"13.30","Standard Liège","0","0",NA,NA,"KRC Genk","Aug","23",2020
"3",2020-08-23,"16.00","Club Brugge","0","1","0","1","Beerschot VA","Aug","23",2020
"3",2020-08-23,"18.15","RSC Anderlecht","1","1","0","0","Royal Excel Mouscron","Aug","23",2020
"3",2020-08-24,"20.45","Sint-Truidense VV","0","0",NA,NA,"KV Oostende","Aug","24",2020
"4",2020-08-28,"20.45","KV Oostende","2","2","2","1","RSC Anderlecht","Aug","28",2020
"4",2020-08-29,"16.15","KAS Eupen","1","1","1","0","Sint-Truidense VV","Aug","29",2020
"4",2020-08-29,"20.45","Royal Excel Mouscron","0","1","0","0","SV Zulte Waregem","Aug","29",2020
"4",2020-08-29,"18.30","Waasland-Beveren","1","3","0","1","Oud-Heverlee Leuven","Aug","29",2020
"4",2020-08-29,"18.30","Cercle Brugge","0","1","0","0","KV Kortrijk","Aug","29",2020
"4",2020-08-30,"13.30","KRC Genk","1","2","0","1","Club Brugge","Aug","30",2020
"4",2020-08-30,"20.45","KAA Gent","1","0","1","0","KV Mechelen","Aug","30",2020
"4",2020-08-30,"18.15","Sporting Charleroi","2","0","1","0","Royal Antwerp FC","Aug","30",2020
"4",2020-08-30,"16.00","Beerschot VA","0","3","0","1","Standard Liège","Aug","30",2020
"5",2020-09-11,"20.45","KAS Eupen","2","1","1","0","KAA Gent","Sep","11",2020
"5",2020-09-12,"16.15","KV Mechelen","0","1","0","0","KV Oostende","Sep","12",2020
"5",2020-09-12,"18.30","Oud-Heverlee Leuven","1","0","0","0","Standard Liège","Sep","12",2020
"5",2020-09-12,"20.45","Club Brugge","4","1","2","1","Waasland-Beveren","Sep","12",2020
"5",2020-09-13,"20.45","KV Kortrijk","3","0","0","0","Royal Excel Mouscron","Sep","13",2020
"5",2020-09-13,"16.00","Sint-Truidense VV","2","3","2","2","Royal Antwerp FC","Sep","13",2020
"5",2020-09-13,"18.15","SV Zulte Waregem","0","2","0","0","Sporting Charleroi","Sep","13",2020
"5",2020-09-13,"13.30","RSC Anderlecht","2","0","1","0","Cercle Brugge","Sep","13",2020
"5",2020-09-14,"20.45","Beerschot VA","5","2","1","1","KRC Genk","Sep","14",2020
"6",2020-09-18,"20.45","Sporting Charleroi","3","1","1","0","Beerschot VA","Sep","18",2020
"6",2020-09-19,"16.15","KV Oostende","3","1","1","0","Oud-Heverlee Leuven","Sep","19",2020
"6",2020-09-19,"18.30","Royal Excel Mouscron","0","1","0","1","KAA Gent","Sep","19",2020
"6",2020-09-19,"20.45","Waasland-Beveren","2","4","0","2","RSC Anderlecht","Sep","19",2020
"6",2020-09-20,"13.30","SV Zulte Waregem","0","6","0","4","Club Brugge","Sep","20",2020
"6",2020-09-20,"16.00","Standard Liège","2","1","2","1","KV Kortrijk","Sep","20",2020
"6",2020-09-20,"18.15","KRC Genk","3","1","1","1","KV Mechelen","Sep","20",2020
"6",2020-09-20,"20.45","Royal Antwerp FC","2","2","0","1","KAS Eupen","Sep","20",2020
"6",2020-09-21,"20.45","Cercle Brugge","3","0","2","0","Sint-Truidense VV","Sep","21",2020
"7",2020-09-25,"20.45","KV Kortrijk","1","3","1","0","Royal Antwerp FC","Sep","25",2020
"7",2020-09-26,"18.30","KV Mechelen","2","0","0","0","Sint-Truidense VV","Sep","26",2020
"7",2020-09-26,"16.15","Beerschot VA","3","2","1","2","Waasland-Beveren","Sep","26",2020
"7",2020-09-26,"20.45","KAA Gent","2","3","0","2","Oud-Heverlee Leuven","Sep","26",2020
"7",2020-09-27,"13.30","Standard Liège","2","2","0","1","SV Zulte Waregem","Sep","27",2020
"7",2020-09-27,"16.00","RSC Anderlecht","1","1","0","0","KAS Eupen","Sep","27",2020
"7",2020-09-27,"18.15","Club Brugge","2","1","1","0","Cercle Brugge","Sep","27",2020
"7",2020-09-27,"20.45","Royal Excel Mouscron","1","1","1","1","Sporting Charleroi","Sep","27",2020
"7",2020-09-28,"20.45","KRC Genk","2","2","1","1","KV Oostende","Sep","28",2020
"8",2020-10-02,"20.45","Royal Antwerp FC","4","1","3","0","KV Mechelen","Oct","2",2020
"8",2020-10-03,"16.15","Waasland-Beveren","1","1","0","0","KRC Genk","Oct","3",2020
"8",2020-10-03,"18.30","KAS Eupen","1","2","1","1","Cercle Brugge","Oct","3",2020
"8",2020-10-03,"18.30","Oud-Heverlee Leuven","2","1","1","0","SV Zulte Waregem","Oct","3",2020
"8",2020-10-03,"20.45","Sint-Truidense VV","0","0",NA,NA,"KV Kortrijk","Oct","3",2020
